Discounted_price_$,Actual_price_$,Discount_percentage_%,Rating,Rating_count,Product_id,Product_name,Category,About_product,User_id,User_name,Review_id,Review_title,Review_content,Img_link,Product_link,Revenue_$,Purchase_date,Discount_amount,Sales_volume,Discount_bin,Price_change_%,Quantity_change_%,PED
399,1099,64,4.2,24269,B07JW9H4J1,Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13,Computers&Accessories,High Compatibility : Compatible With iPhone 12,AG3D6O4STAQKAY2UVGEUV46KN35Q,Manav,R3HXWT0LRP0NMF,Satisfied,Looks durable Charging is fine tooNo complains,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51UsScvHQNL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Wayona-Braided-WN3LG1-Syncing-Charging/dp/B07JW9H4J1/ref=sr_1_1?qid=1672909124&s=electronics&sr=1-1,1553216,10/18/2022,700,24269,60-70%,462.2675534,2103.264801,4.549886284
199,349,43,4,43994,B098NS6PVG,12,Accessories&Peripherals,11,AHMY5CWJMMK5BJRBBSNLYT3ONILA,Adarsh gupta,R2AJM3LFTLZHFO,Charging is really fast,Charging is really fast,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31zOsqQOAOL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Cable/dp/B098NS6PVG/ref=sr_1_2?qid=1672909124&s=electronics&sr=1-2,1891742,3/29/2021,150,43994,40-50%,-68.24385805,81.27652561,-1.190972022
199,1899,90,3.9,7928,B096MSW6CT,11,Cables&Accessories, X/XsMax/Xr ,AHCTC6ULH4XB6YHDY6PCH2R772LQ,Sundeep,R6AQJGUP6P86,Value for money, good product.,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31IvNJZnmdL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Sounce-iPhone-Charging-Compatible-Devices/dp/B096MSW6CT/ref=sr_1_3?qid=1672909124&s=electronics&sr=1-3,713520,8/30/2021,1700,7928,80-90%,444.1260745,-81.97936082,-0.184585787
329,699,53,4.2,94363,B08HDJ86NZ, X,Cables,iPhone 8/8 Plus,AGYHHIERNXKA6P5T7CZLXKVPT7IQ,S.Sayeed Ahmed,R1KD19VHEDV0OR,Product review,Till now satisfied with the quality.,https://m.media-amazon.com/images/I/41V5FtEWPkL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Deuce-300-Resistant-Tangle-Free-Transmission/dp/B08HDJ86NZ/ref=sr_1_4?qid=1672909124&s=electronics&sr=1-4,5001239,8/7/2021,370,94363,50-60%,-63.19115324,1090.249748,-17.25320226
154,399,61,4.2,16905,B08CF3B7N1,8,USBCables,iPhone 7/7 Plus,AG4OGOFWXJZTQ2HKYIOCOY3KXF2Q,jaspreet singh,R3C02RMYQMK6FC,Good quality,This is a good product . The charging speed is slower than the original iPhone cable,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31VzNhhqifL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Portronics-Konnect-POR-1080-Charging-Function/dp/B08CF3B7N1/ref=sr_1_5?qid=1672909124&s=electronics&sr=1-5,1031205,8/12/2021,245,16905,60-70%,-42.91845494,-82.0851393,1.912583746
149,1000,85,3.9,24871,B08Y1TFSP6,7,Computers&Accessories,iPhone 6s/6s Plus,AENGU523SXMOS7JPDTW52PNNVWGQ,Khaja moin,R39GQRVBUZBWGY,Good product,Good quality,https://m.media-amazon.com/images/I/31wOPjcSxlL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Solero-TB301-Charging-480Mbps-1-5-Meter/dp/B08Y1TFSP6/ref=sr_1_6?qid=1672909124&s=electronics&sr=1-6,2114035,8/16/2023,851,24871,80-90%,150.6265664,47.12215321,0.312840917
176.63,499,65,4.1,15188,B08WRWPM22,6,Accessories&Peripherals,iPhone 6/6 Plus,AEQJHCVTNINBS4FKTBGQRQTGTE5Q,Anand,R2K9EDOE15QIRJ,Good Product, would recommend,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41jlwEZpa5L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/boAt-Micro-USB-Tangle-Free-Transmission/dp/B08WRWPM22/ref=sr_1_8?qid=1672909124&s=electronics&sr=1-8,987220,2/22/2023,322.37,15188,60-70%,-50.1,-38.93289373,0.777103667
229,299,23,4.3,30411,B08DDRGWTJ,5,Cables&Accessories,iPhone 5/5s/5c/se,AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,S.ARUMUGAM,R3OI7YT648TL8I,As of now seems good,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81---F1ZgHL._SY88.jpg,https://m.media-amazon.com/images/I/31XO-wfGGGL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/MI-MTCY001IN-USB-Type-C-Cable/dp/B08DDRGWTJ/ref=sr_1_9?qid=1672909124&s=electronics&sr=1-9,699453,7/18/2022,70,30411,20-30%,-40.08016032,100.2304451,-2.500749605
499,999,50,4.2,179691,B008IFXQFU, iPad Air,Cables,iPad Pro,AECPFYFQVRUWC3KGNLJIOREFP5LQ,ArdKn,RGIQEG07R9HS2,A Good Braided Cable for Your Type C Device,Product had worked well till date and was having no issue.Cable is also sturdy enough...Have asked for replacement and company is doing the same...,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31e6ElWRymL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/TP-Link-TL-WN725N-150Mbps-Wireless-Adapter/dp/B008IFXQFU/ref=sr_1_10?qid=1672909124&s=electronics&sr=1-10,8984550,9/21/2022,500,179691,40-50%,234.1137124,490.8750123,2.096737553
199,299,33,4,43994,B082LZGK39, Pro,USBCables,iPad Air 1/2,AGYYVPDD7YG7FYNBXNGXZJT525AQ,Nirbhay kumar,R1SMWZQ86XIN8U,Good quality product from ambrane,Value for money,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31kj3q4SepL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.in/Ambrane-Unbreakable-Charging-Braided-Android/dp/B082LZGK39/ref=sr_1_11?qid=1672909124&s=electronics&sr=1-11,1451802,12/3/2022,100,43994,30-40%,-70.07007007,-75.5168595,1.077733466
