User_id,Recency,Frequency,Monetary,R_rank,F_rank,M_rank,RFM_Score,Customer_Segment
AE242TR3GQ6TYC6W4SJ5UYYKBTYQ,388,1,999.0,174.5,668.5,602.0,1445.0,Medium
AE2E632GMYL5U2ESNXOX5UT5D34A,874,1,299.0,719.0,668.5,913.5,2301.0,VIP
AE2JTMRKTUOIVIZWS2WDGTMNTU4Q,469,2,4498.0,268.0,162.0,221.0,651.0,Low
AE2ODWBBOBD2SITDDIEJ644OSRFQ,606,2,358.0,417.0,162.0,864.0,1443.0,Medium
AE2PQX6JEE6UW7QB6SNEYP3TAXLQ,1131,1,1519.0,939.0,668.5,467.5,2075.0,High
AE2PYPC3OF2HEF4NCE63FBFFFOMQ,668,1,19999.0,502.5,668.5,57.0,1228.0,Low
AE2SWHFUXPXFJLITBNYV5YGTI5LQ,725,1,899.0,568.5,668.5,634.0,1871.0,High
AE2THTCCQLBIUSWPF4CPXC6GGP7Q,292,2,24598.0,75.0,162.0,42.0,279.0,Low
AE2VXY4CFO36MDSIMPG43XHNF4GA,649,3,14699.0,474.0,57.0,87.0,618.0,Low
AE2YKXGI2XFOVDHNL6FF2RQAZ55A,1094,1,2249.0,911.5,668.5,362.5,1942.5,High
AE37UHWDVGTD3RZUERS6DMZ73QIA,635,1,5890.0,458.5,668.5,197.0,1324.0,Medium
AE3CFONNMANNC5QPYIAXV67EUYUQ,531,2,2068.0,333.0,162.0,382.0,877.0,Low
AE3D5CJ2GDUP5SQ3AAYMVAGDTX7A,1005,3,12347.0,840.0,57.0,113.0,1010.0,Low
AE3EGIT22MVVMLV2BZBQAURWSF2Q,1269,1,293.0,1062.0,668.5,926.5,2657.0,VIP
AE3GIVX24R4R67DU2MXLX24XYCIQ,351,1,599.0,139.5,668.5,738.5,1546.5,Medium
AE3GY55N5USCMWLS2JIO7CZFS5FQ,1307,1,341.0,1086.0,668.5,886.0,2640.5,VIP
AE3MQNNHHLUHXURL5S7IAR7JTGNQ,1168,1,32999.0,978.0,668.5,22.0,1668.5,Medium
AE3O6366WGEQAANKJ76QETTUQQTQ,617,3,30597.0,431.0,57.0,30.0,518.0,Low
AE3Q6KSUK5P75D5HFYHCRAOLODSA,736,1,389.0,578.0,668.5,849.0,2095.5,High
