,Onshore_Offshore,Map_Sheet_Division,Map_Sheet,Block_Number,Province_Code,Province_Name,Municipality_ID,Municipality_Name,Postal_Code,Mining_Work_Code,Mining_Work_Name,Provided_X,Provided_Y,Coordinate_System,X_Rijksdriehoek,Y_Rijksdriehoek,X_TM5_ED50,Y_TM5_ED50,X_UTM31_ED50,Y_UTM31_ED50,Longitude_ED50,Latitude_ED50,X_UTM31_WGS84,Y_UTM31_WGS84,Longitude_WGS84,Latitude_WGS84,Start_Date,End_Date,Wellbore_Sidetrack,NITG_Number,UWI,Wellbore_Code,Wellbore_Name,Wellbore_Objective_Code,Wellbore_Objective,Wellbore_Result_Code,Wellbore_Result,Wellbore_Status,Wellbore_Shape,Kickoff_Depth_AH,Wellbore_Depth_AH,Wellbore_Depth_TVD,X_Deviation_UTM31_ED50,X_End_UTM31_ED50,Y_Deviation_UTM31_ED50,Y_End_UTM31_ED50,Reference_Level,Reference_Level_Height,Relative_To,Wellbore_Depth_AH_Relative_To_NAP_MSL,Wellbore_Depth_TVD_Relative_To_NAP_MSL,Current_Owner,Client,Drilling_Tower_Platform,Drilling_Company,Lithostratigraphy_Code,Chronostratigraphy_Code,Well_Name,Field_Code,Field_Name,Public_Access_From
0,OFF,RWS Blokindeling,,A05,,,,,,,,3.5205111,55.68169722,ED50-GEOGR,37395,857077,406970,6171782,532731,6170913,3.5205111,55.68169722,532639,6170700,3.51906683,55.68101428,03-06-1999,02-07-1999,BRH,BA050018,8438,A05-01,A05-01,EXP-HC,Exploratie koolwaterstof,DRY,Droog,Abandoned,Gedevieerd,,3971.8,3958.45,117.65,532849.0,51.91,6170965.0,Kelly Bushing,36.6,MSL,3935.2,3921.75,Amarada Hess Netherlands Ltd,Amarada Hess Netherlands Ltd,Ensco 70,Ensco Offshore U.K. Limited,RV,,,,,2009-07-02
1,OFF,RWS Blokindeling,,A08,,,,,,,,3.634625,55.535575,ED50-GEOGR,44175,840614,413825,6155374,540055,6154710,3.634625,55.535575,539963,6154498,3.63318893,55.53488828,02-07-1996,03-08-1996,BRH,BA080036,8267,A08-01,A08-01,EXP-HC,Exploratie koolwaterstof,GSS,Gas shows,Abandoned,Gedevieerd,,3348.0,3302.23,-93.19,539962.0,-381.53,6154328.0,Rotary Table,39.44,MSL,3308.56,3262.69,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Ensco 71,Ensco Offshore U.K. Limited,ZESA,,,,,2006-08-03
2,OFF,RWS Blokindeling,,A11,,,,,,,,3.5606667,55.4679444,ED50-GEOGR,39309,833199,409002,6147942,535448,6147143,3.5606667,55.4679444,535356,6146931,3.55923107,55.4672545,08-08-1981,30-10-1981,BRH,BA110040,7000,A11-01,A11-01,EXP-HC,Exploratie koolwaterstof,DRY,Droog,Abandoned,Vertikaal,,3900.0,3899.4,-7.67,535440.0,42.17,6147185.0,Rotary Table,33.51,NAP,3866.49,3865.89,"Placid International Oil, Ltd.","Placid International Oil, Ltd.",Penrod 67,Penrod International Drilling Company,DCGM,,,,,1991-10-30
3,OFF,RWS Blokindeling,,A12,,,,,,,,3.8094167,55.400025,ED50-GEOGR,54883,825255,424598,6140087,551263,6139740,3.8094167,55.400025,551171,6139528,3.80799,55.39933557,16-02-1971,05-04-1971,BRH,BA120016,7001,A12-01,A12-01,EXP-HC,Exploratie koolwaterstof,OLS,Olie shows,Abandoned,Vertikaal,,3438.0,3436.47,0.0,551263.0,88.85,6139829.0,Rotary Table,34.0,MSL,3404.0,3402.37,"Tenneco Netherlands, Inc.","Tenneco Netherlands, Inc.",Orion,International Drilling Company,ZESA,,,,,1981-04-05
4,OFF,RWS Blokindeling,,A12,,,,,,,,3.97675,55.3996667,ED50-GEOGR,65490,824992,435194,6139878,561861,6139836,3.97675,55.3996667,561769,6139624,3.97532772,55.39897915,16-04-1983,08-05-1983,BRH,BA120017,7002,A12-02,A12-02,EXP-HC,Exploratie koolwaterstof,DRY,Droog,Abandoned,Vertikaal,,2510.0,2509.55,32.64,561894.0,-25.56,6139810.0,Rotary Table,39.1,MSL,2470.9,2470.35,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Neddrill 4,Neddrill Nederland B.V.,RBSH,,,,,1993-05-08
5,OFF,RWS Blokindeling,,A12,,,,,,,,3.7900556,55.401,ED50-GEOGR,53658,825391,423374,6140216,550035,6139834,3.7900556,55.401,549943,6139622,3.78862835,55.40031038,20-08-1988,25-09-1988,BRH,BA120018,7825,A12-03,A12-03,EXP-HC,Exploratie koolwaterstof,GAS,Gas,Abandoned,Vertikaal,,1000.0,999.96,5.98,550041.0,0.07,6139834.0,Rotary Table,37.18,MSL,962.82,962.68,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Transocean 7,Transocean Drilling Ltd.,NUMS,,,,,1998-09-25
6,OFF,RWS Blokindeling,,A12,,,,,,A12-CPP,A12 Central Processing Platform,551398.43,6139693.42,ED50-UTM31,55017,825204,424732,6140036,551398,6139693,3.81155098,55.39959513,551306,6139481,3.81012435,55.39890571,26-08-2007,12-11-2007,BRH,BA120081,8905,A12-A-01,A12-A-01,DEV-HC,Ontwikkeling koolwaterstof,GAS,Gas,Producing/Injecting,Horizontaal,,986.0,572.04,-624.51,550773.0,-105.61,6139587.0,Rotary Table,58.31,MSL,927.69,513.63,Petrogas E&P Netherlands B.V.,Chevron,Noble George Sauvageau,Noble Drilling (Nederland) B.V.,NU,,A12-A-01,A12-FA,A12-FA,2012-11-12
7,OFF,RWS Blokindeling,,A12,,,,,,A12-CPP,A12 Central Processing Platform,551400.0,6139694.31,ED50-UTM31,55018,825205,424734,6140037,551400,6139694,3.81157593,55.39960296,551308,6139482,3.8101493,55.39891354,19-08-2007,01-01-2008,BRH,BA120082,8906,A12-A-02,A12-A-02,DEV-HC,Ontwikkeling koolwaterstof,GAS,Gas,Producing/Injecting,Horizontaal,,1222.0,599.35,-778.75,550621.0,23.83,6139718.0,Rotary Table,58.31,MSL,1163.69,540.94,Petrogas E&P Netherlands B.V.,Chevron,Noble George Sauvageau,Noble Drilling (Nederland) B.V.,NU,,A12-A-02,A12-FA,A12-FA,2013-01-01
8,OFF,RWS Blokindeling,,A12,,,,,,A12-CPP,A12 Central Processing Platform,551401.58,6139695.21,ED50-UTM31,55020,825206,424735,6140038,551402,6139695,3.81160104,55.39961088,551310,6139483,3.81017441,55.39892146,24-08-2007,16-12-2007,BRH,BA120083,8907,A12-A-03,A12-A-03,DEV-HC,Ontwikkeling koolwaterstof,GAS,Gas,Producing/Injecting,Horizontaal,,1469.0,602.92,-389.69,551012.0,-1027.07,6138668.0,Rotary Table,58.31,MSL,1410.69,544.51,Petrogas E&P Netherlands B.V.,Chevron,Noble George Sauvageau,Noble Drilling (Nederland) B.V.,NU,,A12-A-03,A12-FA,A12-FA,2012-12-16
9,OFF,RWS Blokindeling,,A12,,,,,,A12-CPP,A12 Central Processing Platform,551397.55,6139694.98,ED50-UTM31,55016,825206,424731,6140038,551398,6139695,3.81153738,55.39960924,551306,6139483,3.81011074,55.39891981,30-08-2007,26-09-2007,BRH,BA120084,8908,A12-A-04,A12-A-04,DEV-HC,Ontwikkeling koolwaterstof,GAS,Gas,Plugged back and sidetracked,Gedevieerd,,815.0,684.69,-337.89,551060.0,42.66,6139738.0,Rotary Table,58.31,MSL,756.69,626.28,Petrogas E&P Netherlands B.V.,Chevron,Noble George Sauvageau,Noble Drilling (Nederland) B.V.,NUMS,,A12-A-04,A12-FA,A12-FA,2012-09-26
